row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n
S-M50v0,1,gpu_compute=0.5,777.4,469.2,executor_threads,0,2
S-M50v0,2,gpu_compute=0.5,72.2,51.2,dependencies,0,2
S-M50v0,3,gpu_compute=0.5,258.3,206.6,executor_threads,0,2
S-M50v0,4,gpu_compute=0.5,225.6,168.3,executor_threads,0,2
S-M50v0,5,gpu_compute=0.5,322.1,227.5,executor_threads,0,2
S-M50v0,6,gpu_compute=0.5,59.6,49.4,executor_threads,0,2
S-M50v0,7,gpu_compute=0.5,287.6,227.0,executor_threads,0,2
S-M50v0,8,gpu_compute=0.5,197.9,182.0,executor_threads,0,2
S-M50v0,9,gpu_compute=0.5,1287.8,841.5,executor_threads,0,2
S-M50v0,10,gpu_compute=0.5,308.3,233.7,executor_threads,0,2
S-M50v0,11,gpu_compute=0.5,387.1,196.1,dependencies|executor_threads,0,2
S-M50v0,12,gpu_compute=0.5,203.6,166.0,executor_threads,0,2
S-M50v0,13,gpu_compute=0.5,1526.4,766.2,executor_threads,0,2
S-M50v0,14,gpu_compute=0.5,124.4,75.9,executor_threads,0,2
S-M50v0,15,gpu_compute=0.5,114.7,72.5,executor_threads,0,2
S-M50v0,16,gpu_compute=0.5,530.2,275.9,dependencies,0,2
S-M50v0,17,gpu_compute=0.5,222.5,155.8,executor_threads,0,2
S-M50v0,18,gpu_compute=0.5,1502.6,854.8,executor_threads,0,2
S-M50v0,19,gpu_compute=0.5,245.7,184.6,executor_threads,0,2
S-M50v0,20,gpu_compute=0.5,197.2,131.7,executor_threads,0,2
S-M50v0,21,gpu_compute=0.5,747.4,618.8,executor_threads,0,2
S-M50v0,22,gpu_compute=0.5,174.5,107.1,dependencies,0,2
