row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
S-M50P,1,gpu_compute=0.5,655.7,469.2,executor_threads,0,2,100.0
S-M50P,2,gpu_compute=0.5,58.1,51.2,dependencies,0,2,100.0
S-M50P,3,gpu_compute=0.5,248.4,206.6,executor_threads,0,2,100.0
S-M50P,4,gpu_compute=0.5,222.8,168.3,executor_threads,0,2,100.0
S-M50P,5,gpu_compute=0.5,313.9,227.5,executor_threads,0,2,100.0
S-M50P,6,gpu_compute=0.5,55.8,49.4,executor_threads,0,2,100.0
S-M50P,7,gpu_compute=0.5,257.6,227.0,executor_threads,0,2,100.0
S-M50P,8,gpu_compute=0.5,218.9,182.0,executor_threads,0,2,100.0
S-M50P,9,gpu_compute=0.5,1007.2,841.5,executor_threads,0,2,100.0
S-M50P,10,gpu_compute=0.5,300.1,233.7,executor_threads,0,2,100.0
S-M50P,11,gpu_compute=0.5,277.6,196.1,dependencies,0,2,100.0
S-M50P,12,gpu_compute=0.5,194.2,166.0,executor_threads,0,2,100.0
S-M50P,13,gpu_compute=0.5,1278.2,766.2,executor_threads,0,2,100.0
S-M50P,14,gpu_compute=0.5,123.6,75.9,executor_threads,0,2,100.0
S-M50P,15,gpu_compute=0.5,94.0,72.5,executor_threads,0,2,100.0
S-M50P,16,gpu_compute=0.5,487.6,275.9,dependencies,0,2,100.0
S-M50P,17,gpu_compute=0.5,237.9,155.8,executor_threads,0,2,100.0
S-M50P,18,gpu_compute=0.5,965.8,854.8,executor_threads,0,2,100.0
S-M50P,19,gpu_compute=0.5,226.3,184.6,executor_threads,0,2,100.0
S-M50P,20,gpu_compute=0.5,188.5,131.7,executor_threads,0,2,100.0
S-M50P,21,gpu_compute=0.5,715.7,618.8,executor_threads,0,2,100.0
S-M50P,22,gpu_compute=0.5,170.0,107.1,dependencies,0,2,100.0
